feature,importance
session_ny,604.1270751953125
session_tokyo,269.4820861816406
time_sin,183.43359375
session_overlap_london_ny,62.04220199584961
session_london,37.357975006103516
time_cos,29.62822151184082
atr_normalised,27.955514907836914
volume_ratio,19.672786712646484
volume_ratio_5,15.346677780151367
htf_strength_24,15.191838264465332
dow_sin,11.729469299316406
ma_10_slope,11.455549240112305
htf_strength_4,11.216075897216797
dow_cos,10.685275077819824
ma_20_slope,9.488396644592285
roc_10,9.13043212890625
roc_20,9.075369834899902
htf_distance_ma_96,8.871052742004395
htf_sign_96,8.833266258239746
htf_momentum_96,8.771575927734375
price_vs_ma_20,8.658202171325684
htf_strength_96,8.595428466796875
ma_5_slope,8.510370254516602
roc_60,8.459066390991211
htf_distance_ma_24,8.430427551269531
macd_hist_slope,8.226000785827637
price_vs_ma_50,8.214776039123535
macd_normalised,8.203045845031738
vwap_deviation,8.172279357910156
force_index_normalised,8.04692554473877
macd_signal_normalised,8.04507827758789
ma_50_slope,7.986397743225098
variance_ratio_8,7.825667381286621
alignment_96,7.812924385070801
log_ret_20,7.704987049102783
roc_5,7.640539169311523
return_autocorr_1,7.489926815032959
rsi_21,7.47882080078125
price_vs_ma_10,7.319437026977539
log_ret_5,7.281643390655518
variance_ratio_4,7.250875473022461
macd_histogram,7.232993125915527
momentum_accel_5,7.199511528015137
htf_momentum_24,7.152674198150635
htf_persistence_96,7.149761199951172
rsi_7,6.973567008972168
return_autocorr_5,6.8462700843811035
htf_persistence_24,6.815138816833496
obv_momentum_20,6.769753456115723
rsi_14,6.668750762939453
htf_sign_4,6.634273529052734
price_vs_ma_5,6.610302925109863
ma_alignment,6.541494369506836
htf_distance_ma_4,6.383406162261963
htf_momentum_4,6.305159568786621
momentum_atr_ratio_20,6.241426944732666
rsi_momentum,6.234500885009766
alignment_24,6.138521194458008
roc_3,6.126534938812256
log_ret_1,6.087597370147705
macd_hist_accel,6.028730869293213
htf_sign_24,5.968972206115723
roc_1,5.95370626449585
shadow_momentum_ma5,5.9044508934021
body_ratio_ma5,5.797781944274902
rsi_divergence,5.789592266082764
obv_momentum_5,5.718239784240723
momentum_jerk,5.716625690460205
momentum_atr_ratio_5,5.652524471282959
streak_atr_ratio,5.632339954376221
htf_persistence_4,5.3752641677856445
alignment_4,5.314730167388916
momentum_accel_1,5.202341079711914
signed_streak,5.070473670959473
momentum_atr_ratio_1,5.011658191680908
body_ratio,4.991820335388184
shadow_momentum,4.861932277679443
lower_shadow_ratio,4.807383060455322
upper_shadow_ratio,4.780857086181641
macd_crossover,3.5658037662506104
