epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.4582688510417938,0.6383590698242188,0.0003000000142492354,1.0594861507415771,0.5025351643562317,0.6864664554595947,1.01875901222229
1,0.47819405794143677,0.6573308706283569,0.0003000000142492354,1.0448405742645264,0.4995906352996826,0.6872618794441223,1.011014699935913
2,0.48370376229286194,0.6623436212539673,0.0003000000142492354,1.036986231803894,0.49943265318870544,0.6888983249664307,1.0034514665603638
3,0.48504355549812317,0.6667450666427612,0.0003000000142492354,1.0325591564178467,0.49877193570137024,0.6886043548583984,1.0028027296066284
4,0.48695656657218933,0.670722484588623,0.0003000000142492354,1.0295199155807495,0.4990735650062561,0.688106894493103,1.0000605583190918
5,0.4876909554004669,0.6728588938713074,0.0003000000142492354,1.0272680521011353,0.5000789761543274,0.690104603767395,0.9962283372879028
6,0.48970064520835876,0.6743970513343811,0.0003000000142492354,1.0261696577072144,0.50193190574646,0.6906448602676392,0.9960325360298157
7,0.49026310443878174,0.6756032705307007,0.0003000000142492354,1.0254377126693726,0.49971991777420044,0.6883471012115479,0.997465193271637
8,0.491294801235199,0.6761733293533325,0.0003000000142492354,1.024364948272705,0.49904483556747437,0.6893774271011353,0.9950717687606812
9,0.49225130677223206,0.6766955256462097,0.0003000000142492354,1.0238875150680542,0.502851128578186,0.6930974721908569,0.9916555881500244
10,0.492244154214859,0.6775165796279907,0.0003000000142492354,1.023503065109253,0.49621522426605225,0.687282145023346,0.9957359433174133
11,0.49158498644828796,0.6775782108306885,0.0003000000142492354,1.02281653881073,0.500912070274353,0.6898059844970703,0.993833601474762
12,0.49161723256111145,0.6787858009338379,0.0003000000142492354,1.022359848022461,0.5018457174301147,0.690143346786499,0.9938752055168152
13,0.4923623502254486,0.6784342527389526,0.0003000000142492354,1.021667242050171,0.49673229455947876,0.6858537197113037,0.9977745413780212
14,0.4930000305175781,0.6793083548545837,0.0003000000142492354,1.0214213132858276,0.49460652470588684,0.6860546469688416,0.9981535077095032
15,0.49195754528045654,0.6794363856315613,0.0003000000142492354,1.0211232900619507,0.4969477653503418,0.6891692876815796,0.9933406114578247
16,0.4931110739707947,0.6804648637771606,0.0003000000142492354,1.020376443862915,0.49791011214256287,0.6895383596420288,0.9949679374694824
17,0.4940783381462097,0.680549144744873,0.0003000000142492354,1.0198979377746582,0.4989873766899109,0.6892242431640625,0.995532751083374
18,0.49444371461868286,0.6820199489593506,0.0001500000071246177,1.0186359882354736,0.5010988116264343,0.6882830262184143,0.9935041069984436
19,0.49523183703422546,0.6829213500022888,0.0001500000071246177,1.0170897245407104,0.5001795291900635,0.6882370114326477,0.9934436082839966
20,0.49564024806022644,0.6836448907852173,0.0001500000071246177,1.015954852104187,0.498470276594162,0.6848732233047485,0.9978211522102356
21,0.4967257082462311,0.6845766305923462,0.0001500000071246177,1.0152080059051514,0.499834805727005,0.6877487897872925,0.9931474924087524
22,0.4947231411933899,0.6845591068267822,0.0001500000071246177,1.0147743225097656,0.4961434006690979,0.6827594637870789,0.9993801116943359
23,0.4966253936290741,0.6857646107673645,0.0001500000071246177,1.0133970975875854,0.4958130419254303,0.6832480430603027,0.9988718032836914
24,0.4957584738731384,0.6850971579551697,0.0001500000071246177,1.0139343738555908,0.49778082966804504,0.6862086653709412,0.9952008128166199
