epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.34268754720687866,0.48694637417793274,9.999999747378752e-05,1.1760236024856567,0.38424819707870483,0.48473888635635376,1.1666215658187866
1,0.34700486063957214,0.48724085092544556,9.999999747378752e-05,1.1631063222885132,0.3412887752056122,0.4544104337692261,1.1718366146087646
2,0.35779815912246704,0.5149718523025513,9.999999747378752e-05,1.1461141109466553,0.31503579020500183,0.453621506690979,1.1631572246551514
3,0.3880194425582886,0.539322018623352,9.999999747378752e-05,1.1321873664855957,0.2959427237510681,0.4575062096118927,1.160732626914978
4,0.39935240149497986,0.5553293228149414,9.999999747378752e-05,1.1146957874298096,0.3293555974960327,0.4551210105419159,1.1651140451431274
5,0.41014569997787476,0.570217490196228,9.999999747378752e-05,1.1093084812164307,0.31980907917022705,0.44806361198425293,1.1758276224136353
6,0.39287641644477844,0.5645410418510437,9.999999747378752e-05,1.1088933944702148,0.3078759014606476,0.43482035398483276,1.1805272102355957
7,0.38532111048698425,0.5535994172096252,9.999999747378752e-05,1.1078215837478638,0.3126491606235504,0.4211399555206299,1.1901873350143433
8,0.40960603952407837,0.5885390043258667,9.999999747378752e-05,1.10196053981781,0.2959427237510681,0.4334333837032318,1.1927036046981812
9,0.39233675599098206,0.5688115358352661,9.999999747378752e-05,1.106026291847229,0.2935560941696167,0.4181780219078064,1.2079956531524658
10,0.39665406942367554,0.5682227611541748,9.999999747378752e-05,1.0963456630706787,0.29832935333251953,0.41519612073898315,1.2080670595169067
11,0.39935240149497986,0.5707668662071228,9.999999747378752e-05,1.1024843454360962,0.276849627494812,0.4118369221687317,1.2149678468704224
12,0.400971382856369,0.5821167230606079,4.999999873689376e-05,1.077322244644165,0.2935560941696167,0.43813830614089966,1.1979751586914062
13,0.40690770745277405,0.5925464630126953,4.999999873689376e-05,1.07748544216156,0.29832935333251953,0.44996610283851624,1.1882020235061646
14,0.4263356626033783,0.6112279891967773,4.999999873689376e-05,1.0690066814422607,0.3078759014606476,0.45212632417678833,1.1928006410598755
15,0.41662168502807617,0.6125713586807251,4.999999873689376e-05,1.0663495063781738,0.3078759014606476,0.45133742690086365,1.1932865381240845
16,0.43065300583839417,0.618898868560791,4.999999873689376e-05,1.0712800025939941,0.310262531042099,0.4516022801399231,1.1962579488754272
17,0.415002703666687,0.6078180074691772,4.999999873689376e-05,1.0744755268096924,0.2935560941696167,0.44681620597839355,1.2028086185455322
18,0.44630327820777893,0.6197446584701538,4.999999873689376e-05,1.0802463293075562,0.3078759014606476,0.4545100927352905,1.199299693107605
0,0.4773241877555847,0.6529281735420227,9.999999747378752e-05,1.1082537174224854,0.6114656329154968,0.7562584280967712,0.9793205261230469
1,0.49880653619766235,0.6645333766937256,9.999999747378752e-05,1.0771287679672241,0.6217581629753113,0.7774223685264587,0.9437436461448669
2,0.5074930787086487,0.6765314936637878,9.999999747378752e-05,1.0658271312713623,0.615973711013794,0.775384247303009,0.9355084300041199
3,0.5150945782661438,0.6839138269424438,9.999999747378752e-05,1.0573294162750244,0.594954252243042,0.7634230852127075,0.9313455820083618
4,0.5197802782058716,0.6900101900100708,9.999999747378752e-05,1.0500837564468384,0.5903375744819641,0.7624537348747253,0.9261670708656311
5,0.5211432576179504,0.6922129392623901,9.999999747378752e-05,1.045201063156128,0.6008744239807129,0.7711569666862488,0.9137146472930908
6,0.525767982006073,0.6944422125816345,9.999999747378752e-05,1.0398842096328735,0.5960948467254639,0.7666172385215759,0.9136139750480652
7,0.5270767211914062,0.6961458921432495,9.999999747378752e-05,1.0353742837905884,0.6032642722129822,0.7717238664627075,0.902012050151825
8,0.5308401584625244,0.6998022794723511,9.999999747378752e-05,1.0308595895767212,0.591559648513794,0.7669144868850708,0.9001432657241821
9,0.5303858518600464,0.7020983695983887,9.999999747378752e-05,1.0270771980285645,0.5759172439575195,0.7596645355224609,0.899861752986908
10,0.534596860408783,0.705392062664032,9.999999747378752e-05,1.0236438512802124,0.5829780101776123,0.7667803764343262,0.8885154128074646
11,0.5328880548477173,0.7064653635025024,9.999999747378752e-05,1.0198980569839478,0.5930804014205933,0.7762109637260437,0.8761711120605469
12,0.5310232639312744,0.7059935331344604,9.999999747378752e-05,1.017322301864624,0.5943296551704407,0.7781908512115479,0.870258629322052
