Time ,Open,High,Low,Close,Volume 
2015.01.01 22:00:00,1.21066,1.21082,1.21008,1.21024,1027.68
2015.01.01 23:00:00,1.21024,1.21026,1.20787,1.20879,4622.87
2015.01.02 00:00:00,1.20879,1.20897,1.20673,1.20679,3533.86
2015.01.02 01:00:00,1.20678,1.20726,1.20521,1.20674,5923.17
2015.01.02 02:00:00,1.20674,1.2069,1.20482,1.20591,3668.65
2015.01.02 03:00:00,1.20591,1.20631,1.20555,1.20577,2938.74
2015.01.02 04:00:00,1.20578,1.20603,1.20494,1.20533,2785.84
2015.01.02 05:00:00,1.20532,1.20559,1.20465,1.20525,2669.65
2015.01.02 06:00:00,1.20525,1.2058,1.20489,1.20549,2602.45
2015.01.02 07:00:00,1.20549,1.20586,1.20352,1.20565,6336.32
2015.01.02 08:00:00,1.20567,1.207,1.20452,1.20478,8999.16
2015.01.02 09:00:00,1.20477,1.2061,1.20391,1.20585,9014.47
2015.01.02 10:00:00,1.20583,1.20583,1.20426,1.20512,5467.76
2015.01.02 11:00:00,1.20512,1.20586,1.20451,1.20545,5446.47
2015.01.02 12:00:00,1.20544,1.20551,1.20358,1.20385,5320.88
2015.01.02 13:00:00,1.20386,1.20445,1.20259,1.20314,6357.49
2015.01.02 14:00:00,1.20314,1.20339,1.20089,1.20155,8552.98
2015.01.02 15:00:00,1.20155,1.20325,1.20123,1.20317,10852.69
2015.01.02 16:00:00,1.20317,1.20322,1.20078,1.20142,8192.16
2015.01.02 17:00:00,1.20141,1.20162,1.20042,1.20101,5854.27
2015.01.02 18:00:00,1.20101,1.20159,1.20084,1.20123,3495.83
2015.01.02 19:00:00,1.20123,1.20126,1.20045,1.20061,3420.9
2015.01.02 20:00:00,1.20059,1.20093,1.20019,1.20039,4975.97
2015.01.02 21:00:00,1.20039,1.20065,1.2001,1.20032,3001.09
2015.01.04 22:00:00,1.1951,1.19556,1.18711,1.1946,6937.6
2015.01.04 23:00:00,1.1946,1.19508,1.1931,1.19473,6232.36
2015.01.05 00:00:00,1.19474,1.19766,1.19474,1.19637,8012.33
2015.01.05 01:00:00,1.19634,1.19736,1.19517,1.19552,5964.25
2015.01.05 02:00:00,1.19552,1.19656,1.19551,1.19563,4229.59
2015.01.05 03:00:00,1.19564,1.1957,1.19443,1.19444,3912.46
2015.01.05 04:00:00,1.19444,1.19455,1.19359,1.19414,3538.35
2015.01.05 05:00:00,1.19414,1.1945,1.19262,1.19355,4886.61
2015.01.05 06:00:00,1.19354,1.19478,1.19314,1.19476,4292.36
2015.01.05 07:00:00,1.19477,1.19612,1.19408,1.1957,7622.67
2015.01.05 08:00:00,1.19558,1.19766,1.19521,1.19556,10268.57
2015.01.05 09:00:00,1.19559,1.19609,1.19435,1.19547,9153.56
2015.01.05 10:00:00,1.19546,1.19571,1.19146,1.19208,10269.81
2015.01.05 11:00:00,1.19208,1.19255,1.19004,1.19056,8177.9
2015.01.05 12:00:00,1.19055,1.19198,1.18876,1.19002,9706.33
2015.01.05 13:00:00,1.19002,1.19289,1.18931,1.1913,11763.04
2015.01.05 14:00:00,1.19133,1.19359,1.19089,1.19343,11899.98
2015.01.05 15:00:00,1.19344,1.19419,1.19173,1.1937,10743.32
2015.01.05 16:00:00,1.19369,1.19398,1.19156,1.19181,7758.05
2015.01.05 17:00:00,1.19181,1.19291,1.19126,1.1924,5952.96
2015.01.05 18:00:00,1.19234,1.19347,1.1915,1.19347,5141.2
2015.01.05 19:00:00,1.19349,1.19405,1.19334,1.19392,3519.74
2015.01.05 20:00:00,1.19392,1.19499,1.19369,1.19369,4212.48
2015.01.05 21:00:00,1.19369,1.19393,1.19327,1.1933,2432.11
2015.01.05 22:00:00,1.19333,1.19366,1.19275,1.19331,2388.73
